代码,名称,market
sz300750,宁德时代,SZ
sz300059,东方财富,SZ
sz300274,阳光电源,SZ
sz300124,汇川技术,SZ
sz300014,亿纬锂能,SZ
sz300450,先导智能,SZ
sz300763,锦浪科技,SZ
sz300782,卓胜微,SZ
sz300661,圣邦股份,SZ
sz300433,蓝思科技,SZ
sz300408,三环集团,SZ
sz300136,信维通信,SZ
sz300115,长盈精密,SZ
sz300502,新易盛,SZ
sz300308,中际旭创,SZ
sz300394,天孚通信,SZ
sz300223,北京君正,SZ
sz300474,景嘉微,SZ
sz300458,全志科技,SZ
sz300672,国科微,SZ
sz300456,赛微电子,SZ
sz300346,南大光电,SZ
sz300666,江丰电子,SZ
sz300604,长川科技,SZ
sz300576,容大感光,SZ
sz300598,诚迈科技,SZ
sz300339,润和软件,SZ
sz300033,同花顺,SZ
sz300377,赢时胜,SZ
sz300085,银之杰,SZ
sz300803,指南针,SZ
sz300693,盛弘股份,SZ
sz300751,迈为股份,SZ
sz300699,光威复材,SZ
sz300726,宏达电子,SZ
sz300775,三角防务,SZ
sz300034,钢研高纳,SZ
sz300122,智飞生物,SZ
sz300347,泰格医药,SZ
sz300760,迈瑞医疗,SZ
sz300015,爱尔眼科,SZ
sz300676,华大基因,SZ
sz300529,健帆生物,SZ
sz300003,乐普医疗,SZ
sz300206,理邦仪器,SZ
sz300568,星源材质,SZ
sz300073,当升科技,SZ
sz300037,新宙邦,SZ
sz300207,欣旺达,SZ
sz300438,鹏辉能源,SZ
sh600519,贵州茅台,SH
sh600036,招商银行,SH
sh600030,中信证券,SH
sh600031,三一重工,SH
sh600585,海螺水泥,SH
sh600276,恒瑞医药,SH
sh600809,山西汾酒,SH
sh600887,伊利股份,SH
sh600900,长江电力,SH
sh601012,隆基绿能,SH
sh600438,通威股份,SH
sh601899,紫金矿业,SH
sh600460,士兰微,SH
sh603986,兆易创新,SH
sh600703,三安光电,SH
sh603501,韦尔股份,SH
sh600584,长电科技,SH
sh600171,上海贝岭,SH
sh600588,用友网络,SH
sh600536,中国软件,SH
sh600570,恒生电子,SH
sh600845,宝信软件,SH
sh600862,中航高科,SH
sh600760,中航沈飞,SH
sh600893,航发动力,SH
sh600150,中国船舶,SH
sh600685,中船防务,SH
sh600196,复星医药,SH
sh600085,同仁堂,SH
sh600702,舍得酒业,SH
sh600522,中天科技,SH
sh600487,亨通光电,SH
sh600233,圆通速递,SH
sh600132,重庆啤酒,SH
sh600563,法拉电子,SH
sh600399,抚顺特钢,SH
sh600111,北方稀土,SH
sh600392,盛和资源,SH
sh600516,方大炭素,SH
sh600426,华鲁恒升,SH
sh600028,中国石化,SH
sh600029,南方航空,SH
sh600176,中国巨石,SH
sh600309,万华化学,SH
sh600989,宝丰能源,SH
sh601600,中国铝业,SH
sh600362,江西铜业,SH
sh601857,中国石油,SH
sh600048,保利发展,SH
sh600383,金地集团,SH
