代码,名称,market
bj920000,安徽凤凰,A
bj920001,纬达光电,A
bj920002,万达轴承,A
bj920003,中诚咨询,A
bj920005,鼎佳精密,A
bj920006,晟楠科技,A
bj920007,酉立智能,A
bj920008,成电光信,A
bj920009,丹娜生物,A
bj920010,凯添燃气,A
bj920011,晨光电机,A
bj920012,创达新材,A
bj920014,特瑞斯,A
bj920015,锦华新材,A
bj920016,中草香料,A
bj920017,星昊医药,A
bj920018,宏远股份,A
bj920019,铜冠矿建,A
bj920020,泰凯英,A
bj920021,流金科技,A
bj920022,世昌股份,A
bj920023,*ST田野,A
bj920026,卓兆点胶,A
bj920027,交大铁发,A
bj920028,新恒泰,A
bj920029,开发科技,A
bj920030,德众汽车,A
bj920033,康普化学,A
bj920035,精创电气,A
bj920036,觅睿科技,A
bj920037,广信科技,A
bj920039,国义招标,A
bj920045,蘅东光,A
bj920046,亿能电力,A
bj920047,诺思兰德,A
bj920050,爱舍伦,A
bj920055,隆源股份,A
bj920056,能之光,A
bj920057,百甲科技,A
bj920058,华洋赛车,A
bj920060,万源通,A
bj920061,西磁科技,A
bj920062,科润智控,A
bj920066,科拜尔,A
bj920068,天工股份,A
bj920069,XD普昂医,A
bj920075,柏星龙,A
bj920076,国亮新材,A
bj920077,吉林碳谷,A
bj920078,族兴新材,A
bj920080,奥美森,A
bj920082,方正阀门,A
bj920083,金戈新材,A
bj920086,科马材料,A
bj920087,秋乐种业,A
bj920088,科力股份,A
bj920089,禾昌聚合,A
bj920090,*ST同辉,A
bj920091,大鹏工业,A
bj920092,汉鑫科技,A
bj920096,嘉晨智能,A
bj920098,科隆新材,A
bj920099,瑞华技术,A
bj920100,三协电机,A
bj920101,志高机械,A
bj920106,林泰新材,A
bj920108,宏海科技,A
bj920110,雷特科技,A
bj920111,聚星科技,A
bj920112,巴兰仕,A
bj920116,星图测控,A
bj920118,太湖远大,A
bj920119,美德乐,A
bj920121,江天科技,A
bj920122,中纺标,A
bj920123,芭薇股份,A
bj920124,南特科技,A
bj920125,鸿仕达,A
bj920126,N永大,A
bj920128,胜业电气,A
bj920130,立方控股,A
bj920132,泰鹏智能,A
bj920139,华岭股份,A
bj920145,恒合股份,A
bj920146,华阳变速,A
bj920149,旭杰科技,A
bj920152,昆工科技,A
bj920156,海昌智能,A
bj920158,长江能科,A
bj920159,农大科技,A
bj920160,北矿检测,A
bj920161,龙辰科技,A
bj920163,方大新材,A
bj920166,海圣医疗,A
bj920167,同享科技,A
bj920168,通宝光电,A
bj920169,七丰精工,A
bj920171,志晟信息,A
bj920174,五新智能,A
bj920175,东方碳素,A
bj920177,恒道科技,A
bj920178,锐翔智能,A
bj920179,凯德石英,A
bj920180,爱得科技,A
bj920181,赛英电子,A
bj920183,海菲曼,A
bj920184,国源科技,A
bj920185,贝特瑞,A
bj920186,中科仪,A
bj920187,通领科技,A
bj920188,悦龙科技,A
bj920190,雷神科技,A
bj920191,瑞尔竞达,A
bj920195,三祥科技,A
bj920198,微创光电,A
bj920199,倍益康,A
bj920200,振宏股份,A
bj920204,沪江材料,A
bj920206,彩客科技,A
bj920207,众诚科技,A
bj920208,DR青矩技,A
bj920211,新睿电子,A
bj920212,智新电子,A
bj920218,新天力,A
bj920220,朗信电气,A
bj920221,易实精密,A
bj920223,荣亿精密,A
bj920225,利通科技,A
bj920227,美登科技,A
bj920230,欧康医药,A
bj920237,力佳科技,A
bj920239,长虹能源,A
bj920242,建邦科技,A
bj920245,威博液压,A
bj920247,华密新材,A
bj920249,利尔达,A
bj920252,天宏锂电,A
bj920260,中寰股份,A
bj920261,一诺威,A
bj920262,太湖雪,A
bj920263,中航泰达,A
bj920266,生物谷,A
bj920267,鑫汇科,A
bj920270,天铭科技,A
bj920271,邦德股份,A
bj920273,一致魔芋,A
bj920274,宏裕包材,A
bj920275,驱动力,A
bj920278,鹿得医疗,A
bj920284,灵鸽科技,A
bj920299,灿能电力,A
bj920300,辰光医疗,A
bj920304,迪尔化工,A
bj920305,*ST云创,A
bj920339,恒太照明,A
bj920344,三元基因,A
bj920346,威贸电子,A
bj920351,华光源海,A
bj920357,雅葆轩,A
bj920363,莱赛激光,A
bj920367,新赣江,A
bj920368,连城数控,A
bj920370,新安洁,A
bj920371,欧福蛋业,A
bj920374,云里物里,A
bj920375,派诺科技,A
bj920378,泰德股份,A
bj920392,佳合科技,A
bj920394,民士达,A
bj920395,朗鸿科技,A
bj920396,常辅股份,A
bj920402,硅烷科技,A
bj920403,康农种业,A
bj920405,海希通讯,A
