代码,名称,market
sh600000,浦发银行,SH
sh600004,白云机场,SH
sh600006,东风股份,SH
sh600007,中国国贸,SH
sh600008,首创环保,SH
sh600009,上海机场,SH
sh600010,包钢股份,SH
sh600011,华能国际,SH
sh600012,皖通高速,SH
sh600015,华夏银行,SH
sh600016,民生银行,SH
sh600017,日照港,SH
sh600018,上港集团,SH
sh600019,宝钢股份,SH
sh600020,中原高速,SH
sh600021,上海电力,SH
sh600022,山东钢铁,SH
sh600023,浙能电力,SH
sh600025,华能水电,SH
sh600026,中远海能,SH
sh600027,华电国际,SH
sh600028,中国石化,SH
sh600029,南方航空,SH
sh600031,三一重工,SH
sh600033,福建高速,SH
sh600035,楚天高速,SH
sh600037,歌华有线,SH
sh600038,中直股份,SH
sh600039,四川路桥,SH
sh600048,保利置业,SH
sh600050,中国联通,SH
sh600051,宁波联合,SH
sh600053,九鼎投资,SH
sh600054,黄山旅游,SH
sh600055,万东医疗,SH
sh600056,中国医药,SH
sh600057,厦门象屿,SH
sh600058,龙建股份,SH
sh600059,古越龙山,SH
sh600060,海信视像,SH
sh600061,国投资本,SH
sh600062,华润双鹤,SH
sh600063,皖维高新,SH
sh600064,南京高科,SH
sh600066,宇通客车,SH
sh600067,冠城大通,SH
sh600071,凤凰光学,SH
sh600072,中船科技,SH
sh600073,上海梅林,SH
sh600075,新疆天业,SH
sh600076,康欣新材,SH
sh600078,澄星股份,SH
sh600079,人福医药,SH
sh600080,金花股份,SH
sh600081,东风科技,SH
sh600082,海泰发展,SH
sh600084,中葡股份,SH
sh600085,同仁堂,SH
sh600088,中视传媒,SH
sh600089,特一药业,SH
sh600094,大名城,SH
sh600095,哈高科,SH
sh600096,云天化,SH
sh600097,开创国际,SH
sh600098,广州发展,SH
sh600099,林海股份,SH
sh600100,同方股份,SH
sh600101,明星电力,SH
sh600103,青山纸业,SH
sh600104,上汽集团,SH
sh600105,永鼎股份,SH
sh600106,重庆路桥,SH
sh600107,美尔雅,SH
sh600108,亚盛集团,SH
sh600109,国金证券,SH
sh600110,中科英华,SH
sz002584,西陇科学,SZ
sz002392,北京利尔,SZ
sz002950,奥美医疗,SZ
